"id";"region_id";"region_city";"all_region";"start";"end"
"19145";"4";"Нікополь";"0";"2023-06-26 00:23:19";NULL
"19146";"4";"Марганець";"0";"2023-06-26 00:23:20";NULL
"19147";"4";"Нікополь";"0";"2023-06-26 00:58:27";NULL
"19148";"4";"Марганець";"0";"2023-06-26 00:58:27";NULL
"19149";"4";"Нікополь";"0";"2023-06-26 01:29:10";NULL
"19150";"4";"Марганець";"0";"2023-06-26 01:29:11";NULL
"19182";"8";"Оріхів";"0";"2023-06-26 01:59:56";NULL
"19151";"4";"Нікополь";"0";"2023-06-26 02:28:13";"2023-06-26 06:02:58"
"19152";"4";"Марганець";"0";"2023-06-26 02:28:13";"2023-06-26 06:02:59"
"19192";"17";"Сумська обл.";"1";"2023-06-26 04:41:54";NULL
"19177";"5";"Велика Новосілка";"0";"2023-06-26 12:37:40";NULL
"19153";"4";"Нікополь";"0";"2023-06-26 14:36:56";"2023-06-26 16:32:01"
"19154";"4";"Марганець";"0";"2023-06-26 14:36:56";"2023-06-26 16:32:02"
"19193";"17";"Середина-Буда";"0";"2023-06-26 16:35:12";NULL
"19186";"13";"Очаків";"0";"2023-06-26 19:37:23";NULL
"19187";"13";"Очаків";"0";"2023-06-26 19:57:51";"2023-06-26 20:24:31"
"19200";"19";"Куп'янськ";"0";"2023-06-26 21:56:42";NULL
"19155";"4";"Марганець";"0";"2023-06-26 22:03:27";NULL
"19156";"4";"Нікополь";"0";"2023-06-26 22:03:28";NULL
"19157";"4";"Нікополь";"0";"2023-06-26 23:07:32";"2023-06-27 05:57:04"
"19158";"4";"Марганець";"0";"2023-06-26 23:07:33";"2023-06-27 05:57:05"
"19255";"13";"Очаків";"0";"2023-06-27 11:46:03";NULL
"19256";"13";"Очаків";"0";"2023-06-27 12:12:35";"2023-06-27 12:22:01"
"19260";"17";"Сумська обл.";"1";"2023-06-27 12:18:57";NULL
"19257";"13";"Очаків";"0";"2023-06-27 12:28:45";"2023-06-27 12:56:53"
"19245";"5";"Донецька обл.";"1";"2023-06-27 12:30:07";NULL
"19251";"8";"Оріхів";"0";"2023-06-27 12:32:21";NULL
"19261";"17";"Велика Писарівка";"0";"2023-06-27 12:40:15";NULL
"19269";"19";"Вовчанськ";"0";"2023-06-27 13:44:27";NULL
"19270";"19";"Білий Колодязь";"0";"2023-06-27 13:44:27";NULL
"19262";"17";"Сумська обл.";"1";"2023-06-27 18:22:30";NULL
"19271";"19";"Вовчанськ";"0";"2023-06-27 18:25:03";NULL
"19213";"4";"Нікополь";"0";"2023-06-27 18:39:16";"2023-06-27 20:00:49"
"19214";"4";"Марганець";"0";"2023-06-27 18:39:17";"2023-06-27 20:00:50"
"19272";"19";"Харківська обл.";"1";"2023-06-27 18:49:26";NULL
"19246";"5";"Донецька обл.";"1";"2023-06-27 19:30:16";NULL
"19252";"8";"Оріхів";"0";"2023-06-27 20:14:02";NULL
"19273";"19";"Харківська обл.";"1";"2023-06-27 21:18:38";NULL
"19215";"4";"Нікополь";"0";"2023-06-27 21:41:47";NULL
"19216";"4";"Марганець";"0";"2023-06-27 21:41:48";NULL
"19274";"19";"Харківська обл.";"1";"2023-06-27 21:45:58";NULL
"19263";"17";"Миропілля";"0";"2023-06-27 21:59:32";NULL
"19217";"4";"Нікополь";"0";"2023-06-27 22:34:27";NULL
